서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
3124157.0,1395183.0,1190154.0,1635323.0,676281.0,673899.0,565639.0,5765692.0,782700.0,837602.0,1118117.0,929061.0,1056239.0,1446262.0,1721503.0,596215.0,163339.0
3127566.0,1397058.0,1191489.0,1637440.0,677933.0,675265.0,566595.0,5779063.0,784808.0,839191.0,1121349.0,931231.0,1060779.0,1449761.0,1726327.0,599932.0,164499.0
3123984.0,1398638.0,1191697.0,1635589.0,678442.0,675685.0,566679.0,5780213.0,785806.0,840706.0,1123220.0,932211.0,1061661.0,1451298.0,1729944.0,602132.0,165486.0
3125333.0,1399109.0,1193893.0,1639859.0,680363.0,677716.0,567857.0,5802596.0,786827.0,844979.0,1125409.0,933400.0,1063156.0,1450719.0,1732075.0,607343.0,166449.0
3128523.0,1402669.0,1196824.0,1657465.0,682127.0,678837.0,568443.0,5830690.0,788883.0,846760.0,1126299.0,933573.0,1064788.0,1452909.0,1736777.0,596569.0,166957.0
3133353.0,1406405.0,1197218.0,1660785.0,683239.0,679867.0,569209.0,5854653.0,791908.0,849472.0,1129557.0,935790.0,1068577.0,1455796.0,1741496.0,601521.0,167232.0
3141710.0,1411326.0,1200662.0,1665497.0,685555.0,681266.0,571307.0,5885065.0,795954.0,853770.0,1134773.0,939033.0,1074212.0,1460261.0,1748690.0,606379.0,167623.0
3147149.0,1415199.0,1205069.0,1670275.0,687391.0,683138.0,573415.0,5903746.0,799492.0,856237.0,1138897.0,941129.0,1079202.0,1463495.0,1752882.0,612325.0,168535.0
3148071.0,1416802.0,1211905.0,1667158.0,687007.0,682815.0,573145.0,5917648.0,800987.0,857437.0,1140409.0,941836.0,1081567.0,1464146.0,1754183.0,615868.0,169426.0
3151842.0,1420059.0,1216725.0,1667770.0,689331.0,685034.0,573573.0,5943551.0,803231.0,860035.0,1143395.0,943762.0,1086836.0,1466566.0,1758976.0,620562.0,170144.0
3153732.0,1423215.0,1215989.0,1671017.0,689966.0,684826.0,573848.0,5963358.0,805197.0,862160.0,1145285.0,945153.0,1089330.0,1469376.0,1762651.0,624052.0,171791.0
3157278.0,1426672.0,1217653.0,1675610.0,691412.0,685561.0,574878.0,5984827.0,807595.0,864302.0,1147853.0,947366.0,1092952.0,1472796.0,1767073.0,627823.0,173424.0
3157361.0,1429040.0,1219196.0,1676442.0,691740.0,686429.0,575700.0,6004126.0,809099.0,865620.0,1149845.0,948147.0,1099894.0,1475389.0,1787867.0,615342.0,174742.0
